parse,解析する
attribute,属性
numeric,数字
exclude,排除する
caption,説明文
syntax,構文
operator,演算子
inheritance,継承
substantive,本質的な
compilation,編集
cohesion,凝集
entity,実体
rectangle,長方形
square,正方形
segregation,隔離
inversion,反転
abstraction,抽象
increasingly,ますます
conventional,慣習的な,
facilitate,容易にする
dim,ぼやけた
exclusively,独占的に
specify,はっきりする
preceding,前述の
granted,許可する
malleable,柔軟
inquiry,問い合わせ
bunch,まとまり
authentication,認証
validate,認証する
term,期間
occurrence,出来事
cumbersome,厄介で扱いにくい
correctness,正確さ
available,利用できる
boilerplate,定型表現
drawback	,障害
sprawling,不規則に拡がった
unleash,解き放つ
coordinate,調整する
strengthen,補強する
responsibility,責任
extraordinary,並外れた
proactively,積極的に
coherent,首尾一貫した
relevant,関連のある
endorsement,支持
informed,十分な情報に基づいた同意
plethora,大量
integrate,統合する
capability,能力
retrieve,取り戻す
fidelity,忠実性
tie,結びつける
alignment,一列に並べること、機械の調節
intrinsic,本質的、内部にある
opt,決める
advertise,広告する
latency,待ち時間
granularity,粗雑な
concurrency,並列処理
audit,監査
anatomy,詳細な調査
offset,ある位置の基準点からの差
reside,属する
invoke,呼び出す
prompt,促す
dispatch,送り出す
indeterminate,不確定
ENCRYPTION,暗号化
ENCODING,符号化
opaque,不透明
transmit,送信
capitalize,大文字で書く
destination,行き先
correlate,相互に関連がある
optimize,最適化
department,部門
assumption,前提
tweak,微調整
instantiation,具体化
pertinent,適切な
imminent,今にもおきりそうな
intensive,激しい
airtight,密閉
subscript,添え字
initialize,初期化する
declare,宣言する
reference,参照
note,注意する
store,保存しておく
provide,供給する
following,次の
above,上の 上に
define,定義する
literal,文字通りの
computed,計算される
syntax,統語法
behavior,振る舞い
condition,条件
requirement,必要条件
associate,結びつけて考える
designate,指定する
multiple,多数の 多様な
residence,家
chain,つなぐ
external,外側の
appropriate,ふさわしい
current,現在の
assign,割り当てる
specify,具体的に述べる
unowned,所有していない
addition 追加
description,記述
execute,実行する
origin,原点
implicit,暗黙の
instead,その代わりに
nested,入れ子にした
mutating,変化させる
parentheses,丸カッコ
raw,生の
particular,特定の

conform,従う
inside,内部に
indicate,示す、表す
unwrap,包などを開ける
stack,積み重ね
infer,推論する
increment,増加
context,前後関係
immediately,即座に
observe,監視する
inherit,受け継ぐ
amount,量
scope,範囲
capture,読み込む
valid,有効な
decimal,10進数の
modify,修正する
evaluate,評価する
explicit,明白な
represent,表す
appear,見える
actually,実際は
generate,作り出す
separate,分ける
complex,複雑な
brackets,角カッコ[]
column,縦の列
equivalent,同等
consist,成り立っている
bind,束ねる
lazy,だらけて
annotation,注釈
constraint,束縛
corresponding,一致する
negative,マイナスの
hexadecimal,16進数
row,横の列
brace,波カッコ
entire,全体の
matrix,(数学の)行列
composition,合成
digit,ケタ、数字
greeting,あいさつ
ignore,無視する
alternative,別の
temporary,一時的な
trail,後ろにくっつく
treat,扱う
adopt,採用する
experiment,試み
ladder,はしご
status,状況
ternary,三項
sequence,一列に並んでいるもの
discuss,考察する
ensure,保証する
track,追跡する
content,内容物
director,監督
branch,分岐
positive,正の
iterate,繰り返す
omit,省く
state,態
scalar,数量
chapter,章
quantity,量
vector,方向を持つ量
arithmetic,算術の
none,何もない
fahrenheit,華氏の
conversion,変換
symbol,記号
further,さらに進んだ
cause,を引き起こす
transfer,を移す
purpose,目的
detail,細かい点
avoid,を避ける
extend,拡大する
remove,から取り去る
individual,それぞれの
vowel,母音
combine,結合させる
hierarchy,階級
temperature,温度
occur,生じる
beyond,を越えて
tandem,2人乗り用自転車
affect,に影響する
primary,最も重要な
convert,転換する
invalid,無効の
approach,手法
previous,前の
except,を除いて
enclose,を囲い込む
bound,範囲
paragraph,段落
consonant,子音
insert,を挿入する
calculate,計算する
radius,半径
tenant,賃借人
typical,特有の
swap,を交換する
channel,経路
backwards,後ろへ
constant,定数
variable,変数
clause,節
function,関数
parentheses,丸括弧
identifier,識別子
argument,引数
postfix,後ろにつくもの
prefix,前につくもの
bitwise,ビット演算子
unary,単行演算子
remainder,余り
variadic,可変個引数の
deallocate,解放
delegate,任せる
mutate,変化する
generic,属特有の
enumerate,数え上げる
traversal,順次処理
